ProtocolName: Exp_idot_source_DP
DateTime: 2022-02-25 18:02:23
SoftwareProductVersion: 1.7.9
SoftwareBuildVersion: 1.7.2021.1105


Source Plate ID: Exp_IDOT_001 (PURE_S_100) - Barcode : <No Barcode>
Target Plate ID: Exp_301A (Cellvis_P384) - Barcode : <No Barcode>

Liquid              	Source 	Target    	TargetFwd 	TargetSide	Drop	Miss	TargetVolume        	DosingEnergy
DMSO                	C2     	H21       	0.0215    	0.101     	2   	0   	50 nL               	184       
DMSO                	D2     	J21       	0.0215    	0.101     	2   	0   	50 nL               	184       
DMSO                	E2     	L21       	0.0215    	0.101     	2   	0   	50 nL               	184       
DMSO                	F2     	N21       	0.0215    	0.101     	2   	0   	50 nL               	184       
DMSO                	G2     	C22       	0.017     	0.1055    	2   	0   	50 nL               	184       
DMSO                	H2     	E22       	0.017     	0.1055    	2   	0   	50 nL               	184       
DMSO                	A3     	I22       	0.044     	0.1055    	2   	0   	50 nL               	184       
DMSO                	B3     	K22       	0.044     	0.1055    	2   	0   	50 nL               	184       
DMSO                	C3     	F22       	0.0305    	0.1055    	2   	0   	50 nL               	184       
DMSO                	D3     	H22       	0.0305    	0.1055    	2   	0   	50 nL               	184       
DMSO                	E3     	L22       	0.0575    	0.1055    	1   	1   	50 nL               	184       
DMSO                	F3     	N22       	0.0575    	0.1055    	2   	0   	50 nL               	184       
Water               	D9     	C10       	0.017     	0.0515    	2   	0   	50 nL               	132       
Water               	G9     	F10       	0.0305    	0.0515    	1   	1   	50 nL               	132       

